gene	pathway	other_pathway	source	coverage_corrected?	max_0-cov	%_0-cov	nucl_div	sites_common_FEL-M7	sites_FEL	sites_M7M8	dNdS_FEL	pos_site_density
PPP3CA	DOPP	OXTP	KEGG				0.002895129	0	0	0	0.023880982	0
PPP3CB	DOPP	OXTP	KEGG				0.006351693	0	0	0	0.028496567	0
PPP3CC	DOPP	OXTP	KEGG				0.006126777	0	0	0	0.062239916	0
PPP3CC_h1	DOPP	OXTP	homol				0.00523616	0	0	0	0.049483984	0
PRKCA	DOPP	OXTP-SERP	KEGG				0.006647599	3	3	7	0.142691662	4.411764706
PRKCB_h1	DOPP	DISCARDED. OXTP-SERP	homol				NA	0	NA	NA	NA	NA
PRKCB	DOPP	OXTP-SERP	KEGG				0.004700704	0	1	0	0.040539319	1.485884101
PRKCG	DOPP	OXTP-SERP	KEGG				0.005410355	3	3	3	0.104716271	4.261363636
FOS	DOPP	OXTP	KEGG				0.005476113	1	2	1	0.380901795	5.102040816
GNAS	DOPP	OXTP-SERP	KEGG				0.003243649	0	0	0	0.010265996	0
ADCY5	DOPP	OXTP-SERP	KEGG				0.005548203	2	3	2	0.071357261	2.508361204
MAPK1	DOPP	OXTP-SERP	KEGG				0.005324038	0	0	1	0.023870506	0
PPP1CB	DOPP	OXTP	KEGG				0.004578602	0	0	0	0.007561495	0
PPP1CC	DOPP	OXTP	KEGG				0.004063639	0	0	0	0.002458547	0
CACNA1C	DOPP	OXTP-SERP	KEGG				0.005499075	1	2	5	0.0693	0.864304235
CACNA1D	DOPP	OXTP-SERP	KEGG				0.006121099	8	7	14	0.118382123	3.067484663
CACNA1D_h1	DOPP	OXTP-SERP	homol				2.61581E-05	0	0	0	0	0
KCNJ3	DOPP	OXTP-SERP	homol				0.00235017	0	0	0	0.040679967	0
KCNJ6	DOPP	OXTP-SERP	homol				0.005165606	2	2	2	0.094558212	4.784688995
KCNJ9	DOPP	OXTP-SERP	homol				0.006497049	0	0	0	0.046866632	0
KCNJ5	DOPP	OXTP-SERP	homol				0.003871782	0	0	0	0.068184689	0
GNAI	DOPP	OXTP-SERP	KEGG				0.002817037	0	0	0	0.059592688	0
GNAO	DOPP	OXTP-SERP	KEGG				0.004974215	0	0	0	0.02004609	0
GNAO2	DOPP	OXTP-SERP	homol				0.005229128	0	1	0	0.018565315	2.824858757
GNAI2	DOPP	OXTP-SERP	homol				0.003534081	0	0	0	0.013837303	0
GNAI3	DOPP	OXTP-SERP	homol				0.007683809	0	0	0	0.118508267	0
GNAI4	DOPP	OXTP-SERP	homol				0.006151298	0	1	0	0.028242379	3.311258278
GNAI5	DOPP	OXTP-SERP	homol				0.003431554	0	0	0	0.01858526	0
MAPK14A	DOPP	OXTP	KEGG				0.005674967	1	1	1	0.05417581	2.762430939
MAPK14B	DOPP	OXTP	KEGG				0.003859777	1	1	1	0.045024304	2.770083102
MAPK14_h1	DOPP	OXTP	homol				0.006609687	0	1	0	0.136328633	2.747252747
MAPK9	DOPP	DOPP	KEGG				0.003884026	0	0	0	0.022988594	0
MAPK10	DOPP	OXTP	KEGG				0.002624018	0	0	0	0	0
ALOX12B	SERP		KEGG				0.009966741	25	24	no_cml	0.535413461	35.82089552
ALOX15B	SERP	DISCARDED	KEGG				NA	NA	NA	NA	NA	NA
ALOX15B_h1	SERP		homol				0.012474811	14	19	15	0.400008284	46.91358025
ALOX15B_h2	SERP	DISCARDED	homol				NA	NA	NA	NA	NA	NA
ALOX15B_h3	SERP	DISCARDED	homol				NA	NA	NA	NA	NA	NA
ALOX5	SERP		KEGG				0.007525472	4	5	4	0.244435034	7.418397626
ALOX5_h1	SERP		homol				0.014514267	7	7	21	0.173138386	10.44776119
APP	SERP		KEGG				0.00734137	1	2	1	0.054615923	2.53164557
APP_h1	SERP		homol				0.007337142	1	5	1	0.191840697	6.675567423
ARAF	SERP		KEGG				0.003019907	0	0	0	0.05105573	0
BRAF	SERP		KEGG				0.007512284	0	0	0	0.025688639	0
CASP3	SERP		KEGG				0.023724904	2	14	4	0.685263663	54.6875
CASP3_h1	SERP		homol				0.016483049	4	7	12	0.52866774	24.3902439
CASP3_h2	SERP		homol				0.009060203	3	4	4	0.325609475	14.18439716
CYP2D6	SERP		KEGG				0.018867535	26	26	no_cml	0.41249887	76.24633431
CYP2J2_h1	SERP	DISCARDED	KEGG				NA	NA	NA	NA	NA	NA
CYP2J2_h2	SERP	DISCARDED	homol				NA	NA	NA	NA	NA	NA
CYP2J2_h3	SERP		homol				0.013752056	37	37	no_cml	1.194682568	87.88598575
CYP2J2_h4	SERP	DISCARDED	homol				NA	NA	NA	NA	NA	NA
CYP2J2_h5	SERP		homol				0.014317547	16	16	no_cml	0.35344971	32.12851406
CYP2J2_h6	SERP	DISCARDED	homol				NA	NA	NA	NA	NA	NA
CYP2J2_h7	SERP	DISCARDED	homol				NA	NA	NA	NA	NA	NA
CYP2J6	SERP	DISCARDED	KEGG				NA	NA	NA	NA	NA	NA
CYP2J6_h1	SERP	DISCARDED	homol				NA	NA	NA	NA	NA	NA
CYP2J6_h2	SERP		homol				0.01378691	14	14	20	0.288798064	28.16901408
CYP2J6_h3	SERP		homol				0.009458436	7	9	11	0.505369864	47.61904762
CYP2J6_h4	SERP	DISCARDED	homol				NA	NA	NA	NA	NA	NA
DUSP1	SERP		KEGG				0.006180764	1	1	1	0.104608793	2.659574468
GABRB	SERP		KEGG				0.0064767	0	1	0	0.020240304	1.048218029
GABRB_h1	SERP		homol				0.005595706	0	0	0	0.069546749	0
GABRB2	SERP		KEGG				0.004942184	0	0	0	0.024905849	0
GABRB2_h1	SERP	DISCARDED	homol				NA	NA	NA	NA	NA	NA
GABRB2_h2	SERP		homol				0.012080809	3	3	3	0.314994264	43.47826087
HTR1A	SERP		KEGG				0.005643051	0	0	1	0.133947431	0
HTR1B	SERP		homol				0.006954699	0	0	1	0.088701789	0
HTR1D	SERP		homol				0.006307516	0	0	1	0.131475288	0
HTR1E	SERP		homol				0.006360639	0	1	0	0.113512209	2.652519894
HTR1F	SERP		homol				0.006789626	0	0	1	0.118361193	0
HTR2A	SERP		KEGG				0.008882715	0	1	1	0.097417549	1.721170396
HTR2A_h1	SERP		homol				0.008334584	4	3	8	0.229609342	5.988023952
HTR2B	SERP		homol				0.00734397	1	1	1	0.134254222	2.092050209
HTR3	SERP	DISCARDED	KEGG				NA	NA	NA	NA	NA	NA
HTR3_h1	SERP	DISCARDED	homol				NA	NA	NA	NA	NA	NA
HTR3_h2	SERP		homol				0.018166455	15	15	no_cml	0.55429035	32.05128205
HTR3_h3	SERP		homol				0.004777167	0	2	0	0.143866735	4.016064257
HTR3_h4	SERP	DISCARDED	homol				NA	NA	NA	NA	NA	NA
HTR3_h5	SERP	DISCARDED	homol				NA	NA	NA	NA	NA	NA
HTR3_h6	SERP	DISCARDED	homol				NA	NA	NA	NA	NA	NA
HTR3_h7	SERP		homol				0.006193383	0	3	2	0.23344608	6.072874494
HTR4	SERP		KEGG				0.00846019	0	0	1	0.041078167	0
HTR4_h1	SERP		homol				0.007009507	0	1	0	0.089711088	2.288329519
HTR4_h2	SERP		homol				0.007609345	0	0	1	0.135070929	0
HTR5	SERP		KEGG				0.008208042	0	1	1	0.039976195	2.89017341
HTR6	SERP		KEGG				0.007776569	0	3	0	0.104027607	7.058823529
HTR7	SERP		KEGG				0.009487866	0	0	0	0.043069244	0
HTR7_h1	SERP		homol				0.006890731	0	0	0	0.010467097	0
KCND2	SERP		KEGG				0.003839172	0	0	0	0.108922568	0
KCND2_h1	SERP		homol				0.011783998	0	0	0	0.063758371	0
KCNN2	SERP		KEGG				0.002574446	0	0	0	0.073241152	0
KCNN2_h1	SERP		homol				0.002089984	0	0	1	0.172070704	0
KCNN2_h2	SERP		homol				0.002087436	0	0	1	0.17453202	0
PTGS1	SERP		KEGG				0.010105835	8	10	10	0.293589402	16.69449082
PTGS1_h1	SERP	DISCARDED	homol				NA	0	NA	NA	NA	NA
RAPGEF3	SERP		KEGG				0.006420932	6	7	7	0.209498696	8.139534884
SLC6A4	SERP		KEGG				0.004672455	1	1	1	0.091127903	1.483679525
SLC6A4_h1	SERP		homol				0.005100941	0	0	0	0.033302851	0
TPH1	SERP		KEGG				0.004891036	0	0	0	0.060025274	0
TPH1_h1	SERP		homol				0.018664198	8	8	12	0.194534334	17.4291939
TPH2	SERP		KEGG				0.008209908	0	0	1	0.08743243	0
TRPC1	SERP		homol				0.004622543	0	0	0	0.017935712	0
DDC	SERP	DOPP	KEGG				0.007998318	3	3	5	0.164896447	6.25
SLC18A1	SERP	DOPP	KEGG				0.007859944	5	7	8	0.151069653	10.84990958
SLC18A2	SERP	DOPP	KEGG				0.012361402	1	1	3	0.073066281	1.937984496
CACNA1C	SERP	OXTP-DOPP	KEGG				0.005499075	1	2	5	0.0693	0.864304235
CACNA1D	SERP	OXTP-DOPP	KEGG				0.006121099	8	7	14	0.118382123	3.067484663
CACNA1D_h1	SERP	OXTP-DOPP	homol				2.61581E-05	0	0	0	0	0
CACNA1F	SERP	OXTP	KEGG				0.00828591	2	2	14	0.0732	0.963391137
CACNA1S	SERP	OXTP	KEGG				0.010153971	8	9	6	0.094985749	4.859611231
GNAQ	SERP	OXTP-DOPP	KEGG				0.005408331	1	2	1	0.126175094	5.571030641
GNAQ2	SERP	OXTP-DOPP	homol				0.004519321	0	0	1	0.051228292	0
PLCB1	SERP	OXTP-DOPP	KEGG				0.005901585	6	8	7	0.108482292	6.441223833
PLCB2	SERP	OXTP-DOPP	homol				0.009020914	11	11	no_cml	0.239827845	8.675078864
PLCB3	SERP	OXTP-DOPP	homol				0.01003909	22	25	25	0.358756967	19.88862371
PLCB4	SERP	OXTP-DOPP	homol				0.005413306	1	1	4	0.052366971	0.817661488
ITPR1	SERP	OXTP-DOPP	KEGG				0.005620775	1	2	2	0.0508	0.74019245
ITPR1_h1	SERP	OXTP-DOPP	homol				0.005446658	2	2	2	0.038185321	0.73664825
ITPR2	SERP	OXTP-DOPP	KEGG				0.007567685	10	14	15	0.144413994	5.185185185
ITPR3	SERP	OXTP-DOPP	KEGG				0.009435578	5	7	4	0.075036708	2.593553168
PRKCA	SERP	OXTP-DOPP	KEGG				0.006647599	3	3	7	0.142691662	4.411764706
PRKCB_h1	SERP	DISCARDED. OXTP-DOPP	homol				NA	0	NA	NA	NA	NA
PRKCB	SERP	OXTP-DOPP	KEGG				0.004700704	0	1	0	0.040539319	1.485884101
PRKCG	SERP	OXTP-DOPP	KEGG				0.005410355	3	3	3	0.104716271	4.261363636
MAP2K1	SERP	OXTP	KEGG				0.006221106	0	0	0	0.032378696	0
MAP2K1_h1	SERP	OXTP	homol				0.005170536	0	0	0	0.083981065	0
PLA2G4	SERP	OXTP	KEGG				0.009021911	5	6	10	0.158390081	8.053691275
PTGS2	SERP	OXTP	KEGG				0.019159481	8	8	20	0.162968079	12.96596434
GNAS	SERP	OXTP-DOPP	KEGG				0.003243649	0	0	0	0.010265996	0
ADCY5	SERP	OXTP-DOPP	KEGG				0.005548203	2	3	2	0.071357261	2.508361204
GNAI	SERP	OXTP-DOPP	KEGG				0.002817037	0	0	0	0.059592688	0
GNAI2	SERP	OXTP-DOPP	homol				0.003534081	0	0	0	0.013837303	0
GNAI3	SERP	OXTP-DOPP	homol				0.007683809	0	0	0	0.118508267	0
GNAI4	SERP	OXTP-DOPP	homol				0.006151298	0	1	0	0.028242379	3.311258278
GNAI5	SERP	OXTP-DOPP	homol				0.003431554	0	0	0	0.01858526	0
GNAO	SERP	OXTP-DOPP	KEGG				0.004974215	0	0	0	0.02004609	0
GNAO2	SERP	OXTP-DOPP	homol				0.005229128	0	1	0	0.018565315	2.824858757
GNB1	SERP	DOPP	KEGG				0.004122473	1	1	1	0.016137992	2.941176471
GNB1_h1	SERP	DOPP	homol				0.001476422	0	0	0	0	0
GNB2	SERP	DOPP	KEGG				0.005133059	0	0	0	0.011862076	0
GNB3	SERP	DOPP	KEGG				0.006576754	1	1	2	0.103573864	2.941176471
GNB3_h1	SERP	DOPP	homol				0.015872566	13	12	13	0.347200699	40.93567251
GNB4	SERP	DOPP	KEGG				0.009824395	0	0	0	0.020367859	0
GNB5	SERP	DOPP	KEGG				0.005205694	0	0	0	0.023300852	0
GNB5_h1	SERP	DOPP	homol				0.006491682	0	0	1	0.08952566	0
GNG2	SERP	DOPP	KEGG				0.007051759	0	0	0	0.77252733	21.50537634
GNG3	SERP	DOPP	KEGG				0.00533218	0	0	0	0.126743083	0
GNG4	SERP	DOPP	KEGG				0.009322233	0	0	0	0.030990168	0
GNG5	SERP	DOPP	KEGG				0.003417872	0	0	0	0	0
GNG5_h1	SERP	DOPP	homol				0.006715824	0	0	0	0.053838489	0
GNG5_h2	SERP	DOPP	homol				0.005911671	0	0	0	0.008666698	0
GNG7	SERP	DOPP	KEGG				0.00100088	0	0	0	0.013240404	0
GNG8	SERP	DOPP	KEGG				0.002284252	0	0	0	0.091156619	0
GNG10	SERP	DOPP	KEGG				0.016590132	6	8	9	0.056764601	0
GNG12	SERP	DOPP	KEGG				0.004223915	0	0	1	0.07709448	0
GNG12_h1	SERP	DOPP	homol				0.002822613	0	0	0	0.031586456	0
GNG13	SERP	DOPP	KEGG				0.003719672	0	0	0	0.008395292	0
GNGT1	SERP	DOPP	KEGG				0.005155871	0	1	0	0.310180081	0
GNGT2	SERP	DOPP	KEGG				0.017736477	1	3	2	0.746078181	42.85714286
HRASA	SERP	OXTP	KEGG				0.003798451	0	0	0	0.003016597	0
HRASB	SERP	OXTP	homol				0.007393535	0	0	0	0.026247329	0
KRAS	SERP	OXTP	KEGG				0.001795894	0	0	0	0.007520808	0
RAF1	SERP	OXTP	KEGG				0.004642353	0	0	0	0.064084345	0
CACNA1A	SERP	DOPP	KEGG				0.004354484	0	1	4	0.136200372	0.413052458
CACNA1A_h1	SERP	DOPP	homol				0.0051877	8	8	12	0.100693692	3.305785124
CACNA1B	SERP	DOPP	KEGG				0.007246085	7	7	no_cml	0.232980097	2.521008403
CACNA1B_h1	SERP	DOPP	homol				0.006778658	8	8	no_cml	0.206165244	3.895597974
KCNJ3	SERP	OXTP-DOPP	homol				0.00235017	0	0	0	0.040679967	0
KCNJ6	SERP	OXTP-DOPP	homol				0.005165606	2	2	2	0.094558212	4.784688995
KCNJ9	SERP	OXTP-DOPP	homol				0.006497049	0	0	0	0.046866632	0
KCNJ5	SERP	OXTP-DOPP	homol				0.003871782	0	0	0	0.068184689	0
MAO	SERP	DISCARDED	KEGG				NA	NA	NA	NA	NA	NA
MAO_h1	SERP	DOPP	homol				0.007152737	11	11	10	0.374695939	0
MAO_h2	SERP	DOPP	homol				0.005780194	4	4	7	0.245448931	0
MAPK1	SERP	OXTP-DOPP	KEGG				0.005324038	0	0	1	0.023870506	0
AD4BP_h1	STEP		homolog				0.011397446	0	1	1	0.066489682	2
AD4BP_h2	STEP		homolog				0.005017658	0	0	0	0.018879249	0
CYP11A1	STEP		"Hirschenhauser and Oliveira, 2006"				0.014164349	3	5	8	0.42332804	9.671179884
CYP11B	STEP		"Hirschenhauser and Oliveira, 2006"				0.012673545	7	11	10	0.404362091	20.48417132
CYP11B_h1	STEP		homolog				0.009693775	9	9	11	0.469124835	26.08695652
CYP17	STEP		"Hirschenhauser and Oliveira, 2006"				0.025892806	7	7	23	0.303196617	13.56589147
CYP17_h1	STEP		homolog				0.010939054	5	8	11	0.324012073	15.35508637
CYP19A1A	STEP		"Hirschenhauser and Oliveira, 2006"				0.019496054	17	21	28	0.745154273	40.22988506
CYP19A1A_h1	STEP		homolog				0.012366329	3	6	7	0.486056757	12.12121212
FOXL2	STEP		"Hirschenhauser and Oliveira, 2006"				0.004014516	0	0	0	0.052134028	0
FOXL2_h1	STEP		homolog				0.00831537	1	2	10	0.261148476	7.462686567
FOXL2_h2	STEP		homolog				0.015791208	3	8	7	0.501192634	20.77922078
FOXL2_h3	STEP		homolog				0.007941035	0	0	0	0.146807359	0
FTZF1	STEP		"Hirschenhauser and Oliveira, 2006"				0.011614869	0	1	1	0.059206042	2.057613169
HSD11B	STEP		"Hirschenhauser and Oliveira, 2006"				0.012389751	0	4	4	0.220890178	9.852216749
HSD11B_h1	STEP		homolog				0.010898199	2	3	4	0.230783938	10.2739726
HSD11B_h2	STEP		homolog 				0.013317213	4	4	10	0.446932014	13.88888889
HSD17B1	STEP		"Hirschenhauser and Oliveira, 2006"				0.011736212	1	3	3	0.338534804	10.38062284
HSD17B10	STEP		homolog				0.011005086	3	3	11	0.178898314	11.53846154
HSD17B12A	STEP		homolog				0.010641404	2	3	3	0.338743637	9.174311927
HSD17B12B	STEP		homolog				0.008230851	2	4	3	0.398669902	12.34567901
HSD17B14	STEP		homolog				0.006719728	3	5	3	0.289098065	18.93939394
HSD17B3	STEP		homolog				0.017835127	6	8	10	1.008926251	25.72347267
HSD17B4	STEP		homolog				0.007412676	6	8	6	0.321771102	10.82543978
HSD17B7	STEP		homolog				0.009267052	5	7	11	0.392082739	20.52785924
HSD17B8	STEP		homolog				0.00598699	0	0	4	0.219077509	0
HSD20B	STEP		"Hirschenhauser and Oliveira, 2006"				0.009136618	2	2	10	0.424504581	6.369426752
HSD3B	STEP		"Hirschenhauser and Oliveira, 2006"				0.017718201	14	14	17	0.567924714	37.33333333
SOX3	STEP		"Hirschenhauser and Oliveira, 2006"				0.00311382	0	0	2	0.014512193	0
WT1	STEP		"Hirschenhauser and Oliveira, 2006"				0.006220582	2	2	2	0.176369841	4.761904762
WT1_h1	STEP		homolog				0.005818535	0	1	2	0.101443856	2.262443439
VT	VT-R		own				0.007549169	1	1	1	0.386404929	6.535947712
VTR1AA	VT-R		own				0.006390765	1	1	3	0.266179004	2.336448598
VTR1AB	VT-R		own				0.010550542	1	1	4	0.132623518	2.493765586
VTR2AA	VT-R		own				0.010975804	3	3	3	0.174578897	5.893909627
VTR2AB	VT-R		own				0.011418568	9	9	13	0.227017362	25.42372881
VTR2BA	VT-R		own				0.008858014	0	1	1	0.253565836	2.325581395
VTR2BB	VT-R		own				0.007099958	0	3	2	0.187238636	5.797101449
